Category;Test Case ID;Test Case Description;PreRequisites;Steps;Test Procedures - Steps to Perform;Test Procedures - Step Expected Result;Test Case Expected Result;Actual Result;Status;Type;Note;Platform
User Registration & Login;FT02-003;Empty/Whitespace Password - MSG_1;Login Screen Rendered;1;Leave Password field empty OR enter only whitespace characters;Password field accepts input (or remains empty);Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Passed;Automation;BR4:  isEmpty(Password)  OR  isOnlyWhitespace(Password) . Consolidates FT02-03/FT02-16 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-003;Empty/Whitespace Password - MSG_1;Login Screen Rendered;2;Click Login button;Submission prevented;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Passed;Automation;BR4:  isEmpty(Password)  OR  isOnlyWhitespace(Password) . Consolidates FT02-03/FT02-16 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-003;Empty/Whitespace Password - MSG_1;Login Screen Rendered;3;Observe validation message;MSG_1 displayed;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Passed;Automation;BR4:  isEmpty(Password)  OR  isOnlyWhitespace(Password) . Consolidates FT02-03/FT02-16 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-004;Invalid Email Format - MSG_2;Login Screen Rendered;1;Enter email NOT following  prefix@domain.extension  structure;Email input accepted at input stage;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Passed;Automation;BR4:  isEmailValid(Format) = FALSE . Consolidates FT02-04/FT02-17 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-004;Invalid Email Format - MSG_2;Login Screen Rendered;2;Enter valid password and click Login button;Submission prevented;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Passed;Automation;BR4:  isEmailValid(Format) = FALSE . Consolidates FT02-04/FT02-17 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-004;Invalid Email Format - MSG_2;Login Screen Rendered;3;Observe validation message;MSG_2 displayed;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Passed;Automation;BR4:  isEmailValid(Format) = FALSE . Consolidates FT02-04/FT02-17 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-005;Email Too Long (Length $\mathbf{\ge 100}$ chars) - MSG_3;Login Screen Rendered;1;Enter email with $\mathbf{\ge 100}$ valid characters;Email input accepted;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Passed;Automation;BR4:  isEmailValid(Length $\ge 100$) = FALSE . New Case (Covers missing upper limit check).;Frontend
User Registration & Login;FT02-005;Email Too Long (Length $\mathbf{\ge 100}$ chars) - MSG_3;Login Screen Rendered;2;Enter valid password and click Login button;Submission prevented;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Passed;Automation;BR4:  isEmailValid(Length $\ge 100$) = FALSE . New Case (Covers missing upper limit check).;Frontend
User Registration & Login;FT02-005;Email Too Long (Length $\mathbf{\ge 100}$ chars) - MSG_3;Login Screen Rendered;3;Observe validation message;MSG_3 displayed;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Passed;Automation;BR4:  isEmailValid(Length $\ge 100$) = FALSE . New Case (Covers missing upper limit check).;Frontend
User Registration & Login;FT02-006;Password Too Short (Length $\mathbf{\le 10}$ chars) - MSG_4;Login Screen Rendered;1;Enter valid email and password with $\mathbf{\le 10}$ characters (e.g., 'pass@1');Password input accepted;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Passed;Automation;BR4:  isPasswordValid(Length $\le 10$) = FALSE . New Case (Covers missing minimum length check).;Frontend
User Registration & Login;FT02-006;Password Too Short (Length $\mathbf{\le 10}$ chars) - MSG_4;Login Screen Rendered;2;Click Login button;Submission prevented;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Passed;Automation;BR4:  isPasswordValid(Length $\le 10$) = FALSE . New Case (Covers missing minimum length check).;Frontend
User Registration & Login;FT02-006;Password Too Short (Length $\mathbf{\le 10}$ chars) - MSG_4;Login Screen Rendered;3;Observe validation message;MSG_4 displayed;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Passed;Automation;BR4:  isPasswordValid(Length $\le 10$) = FALSE . New Case (Covers missing minimum length check).;Frontend
User Registration & Login;FT02-007;Password Missing Special Character - MSG_5;Login Screen Rendered;1;Enter valid email and password $\mathbf{\ge 11}$ characters BUT without a special character (e.g., 'Password12345');Password input accepted;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Passed;Automation;BR4:  isPasswordValid(Missing Special Char) = FALSE . New Case (Covers missing special character check).;Frontend
User Registration & Login;FT02-007;Password Missing Special Character - MSG_5;Login Screen Rendered;2;Click Login button;Submission prevented;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Passed;Automation;BR4:  isPasswordValid(Missing Special Char) = FALSE . New Case (Covers missing special character check).;Frontend
User Registration & Login;FT02-007;Password Missing Special Character - MSG_5;Login Screen Rendered;3;Observe validation message;MSG_5 displayed;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Passed;Automation;BR4:  isPasswordValid(Missing Special Char) = FALSE . New Case (Covers missing special character check).;Frontend
User Registration & Login;FT02-008;Invalid Credentials (Email Not Found or Wrong Password) - MSG_7;Login Screen Rendered, Active User exists in DB with known email/password;1;Enter valid email but INCORRECT password (or vice versa, or an UNREGISTERED email);BR4 validation passes;Processing error (MSG_7) displayed: Invalid email or password. Stay on Login screen.;Processing error (MSG_7) displayed: Invalid email or password. Stay on Login screen.;Passed;Automation;BR5 (IF):  VerifyUser(Email, Password) = FALSE  ->  MSG_7 . Consolidates FT02-05/FT02-19 (User Not Found) and FT02-06/FT02-20 (Wrong Password). Corrects BR label (from BR2 to BR5).;Frontend/Backend
User Registration & Login;FT02-008;Invalid Credentials (Email Not Found or Wrong Password) - MSG_7;Login Screen Rendered, Active User exists in DB with known email/password;2;Click Login button;Backend verification returns 'Invalid Credentials';Processing error (MSG_7) displayed: Invalid email or password. Stay on Login screen.;Processing error (MSG_7) displayed: Invalid email or password. Stay on Login screen.;Passed;Automation;BR5 (IF):  VerifyUser(Email, Password) = FALSE  ->  MSG_7 . Consolidates FT02-05/FT02-19 (User Not Found) and FT02-06/FT02-20 (Wrong Password). Corrects BR label (from BR2 to BR5).;Frontend/Backend
User Registration & Login;FT02-008;Invalid Credentials (Email Not Found or Wrong Password) - MSG_7;Login Screen Rendered, Active User exists in DB with known email/password;3;Observe error handling;MSG_7 displayed, user remains on the current screen;Processing error (MSG_7) displayed: Invalid email or password. Stay on Login screen.;Processing error (MSG_7) displayed: Invalid email or password. Stay on Login screen.;Passed;Automation;BR5 (IF):  VerifyUser(Email, Password) = FALSE  ->  MSG_7 . Consolidates FT02-05/FT02-19 (User Not Found) and FT02-06/FT02-20 (Wrong Password). Corrects BR label (from BR2 to BR5).;Frontend/Backend
User Registration & Login;FT02-009;Account Inactive/Locked - MSG_8;Login Screen Rendered, User exists but Status is set to Inactive in DB;1;Enter valid email and password for the Inactive user;BR4 validation passes;Processing error (MSG_8) displayed: Account is inactive. Abort Login Process and stay on Login screen.;Processing error (MSG_8) displayed: Account is inactive. Abort Login Process and stay on Login screen.;Not Run;Automation;BR5 (ELSE IF):  isUserActive() = FALSE  ->  MSG_8 . Consolidates FT02-07/FT02-21. Corrects BR label (from BR2 to BR5). (Requires setup of an Inactive user.);Frontend/Backend
User Registration & Login;FT02-009;Account Inactive/Locked - MSG_8;Login Screen Rendered, User exists but Status is set to Inactive in DB;2;Click Login button;Backend verification returns 'User Inactive';Processing error (MSG_8) displayed: Account is inactive. Abort Login Process and stay on Login screen.;Processing error (MSG_8) displayed: Account is inactive. Abort Login Process and stay on Login screen.;Not Run;Automation;BR5 (ELSE IF):  isUserActive() = FALSE  ->  MSG_8 . Consolidates FT02-07/FT02-21. Corrects BR label (from BR2 to BR5). (Requires setup of an Inactive user.);Frontend/Backend
User Registration & Login;FT02-009;Account Inactive/Locked - MSG_8;Login Screen Rendered, User exists but Status is set to Inactive in DB;3;Observe error handling;MSG_8 displayed, user remains on the current screen (Login aborted);Processing error (MSG_8) displayed: Account is inactive. Abort Login Process and stay on Login screen.;Processing error (MSG_8) displayed: Account is inactive. Abort Login Process and stay on Login screen.;Not Run;Automation;BR5 (ELSE IF):  isUserActive() = FALSE  ->  MSG_8 . Consolidates FT02-07/FT02-21. Corrects BR label (from BR2 to BR5). (Requires setup of an Inactive user.);Frontend/Backend
User Registration & Login;FT03-001;Logout Successful (Session Termination) - 'Yes' Chosen;User is logged in (Home Screen displayed);1;"Click ""Logout"" button";MSG_9 Confirmation Dialog is displayed;Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Passed;Automation;BR6 (Yes) & BR7. Happy Path: Confirms dialog, session termination, and redirection. (Requires setup of a logged-in user.);Frontend/Backend
User Registration & Login;FT03-001;Logout Successful (Session Termination) - 'Yes' Chosen;User is logged in (Home Screen displayed);2;"Choose ""Yes"" in the confirmation dialog";System proceeds to terminate the session (BR7);Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Passed;Automation;BR6 (Yes) & BR7. Happy Path: Confirms dialog, session termination, and redirection. (Requires setup of a logged-in user.);Frontend/Backend
User Registration & Login;FT03-001;Logout Successful (Session Termination) - 'Yes' Chosen;User is logged in (Home Screen displayed);3;(Backend) Verify session token/cookie is invalidated/cleared;Session is terminated (cannot access restricted pages);Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Passed;Automation;BR6 (Yes) & BR7. Happy Path: Confirms dialog, session termination, and redirection. (Requires setup of a logged-in user.);Frontend/Backend
User Registration & Login;FT03-001;Logout Successful (Session Termination) - 'Yes' Chosen;User is logged in (Home Screen displayed);4;Observe screen redirection;Redirected to the Welcome Screen;Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Session is terminated (BR7), and the user is successfully redirected to the Welcome Screen.;Passed;Automation;BR6 (Yes) & BR7. Happy Path: Confirms dialog, session termination, and redirection. (Requires setup of a logged-in user.);Frontend/Backend
User Registration & Login;FT03-002;Logout Confirmation Cancelled - Return to Previous Screen ('Cancel');User is logged in (Home Screen displayed);1;"Click ""Logout"" button";MSG_9 Confirmation Dialog is displayed;User cancels the logout process, the dialog closes, and the user remains on the previous screen (Home Screen) in a logged-in state.;User cancels the logout process, the dialog closes, and the user remains on the previous screen (Home Screen) in a logged-in state.;Passed;Automation;BR6 (Cancel). Confirms dialog appears, closes, and the user remains logged in. (Requires setup of a logged-in user.);Frontend
User Registration & Login;FT03-002;Logout Confirmation Cancelled - Return to Previous Screen ('Cancel');User is logged in (Home Screen displayed);2;"Choose ""Cancel"" in the confirmation dialog";System closes the dialog;User cancels the logout process, the dialog closes, and the user remains on the previous screen (Home Screen) in a logged-in state.;User cancels the logout process, the dialog closes, and the user remains on the previous screen (Home Screen) in a logged-in state.;Passed;Automation;BR6 (Cancel). Confirms dialog appears, closes, and the user remains logged in. (Requires setup of a logged-in user.);Frontend
User Registration & Login;FT03-002;Logout Confirmation Cancelled - Return to Previous Screen ('Cancel');User is logged in (Home Screen displayed);3;Observe screen state;Dialog is closed, and the previous screen (Home Screen) is fully functional.;User cancels the logout process, the dialog closes, and the user remains on the previous screen (Home Screen) in a logged-in state.;User cancels the logout process, the dialog closes, and the user remains on the previous screen (Home Screen) in a logged-in state.;Passed;Automation;BR6 (Cancel). Confirms dialog appears, closes, and the user remains logged in. (Requires setup of a logged-in user.);Frontend
